timestamp,vehicle_model,production_line,shift,assembly_time_min,paint_thickness_um,torque_nm,battery_voltage_v,quality_score,inspection_status
2025-01-01 11:15,SUV-Pro,Line-C,Morning,59.5,117.0,307.0,395.1,87.3,Rework
2025-01-01 11:30,TruckMax,Line-A,Morning,46.0,115.5,299.3,399.4,99.2,PASS
2025-01-01 11:45,TruckMax,Line-A,Morning,50.1,119.1,305.9,396.6,96.8,PASS
2025-01-01 12:00,EV-One,Line-C,Morning,55.0,117.9,312.2,389.8,89.7,Rework
2025-01-01 12:15,SUV-Pro,Line-D,Evening,56.2,115.7,293.8,394.6,91.0,PASS
2025-01-01 12:30,Sedan-X,Line-A,Morning,48.7,115.2,321.6,400.2,94.1,PASS
2025-01-01 12:45,SUV-Pro,Line-A,Evening,44.3,120.1,306.7,402.2,94.6,PASS
2025-01-01 13:00,TruckMax,Line-A,Night,52.5,121.9,316.2,390.3,90.6,PASS
2025-01-01 13:15,SUV-Pro,Line-D,Morning,43.7,116.0,338.3,391.9,99.9,PASS
2025-01-01 13:30,SUV-Pro,Line-C,Night,51.9,111.5,307.8,401.0,91.7,PASS
2025-01-01 13:45,TruckMax,Line-C,Night,45.8,116.7,279.2,390.7,93.8,PASS
2025-01-01 14:00,EV-One,Line-C,Morning,64.9,124.9,322.1,391.3,84.4,Rework
2025-01-01 14:15,Hatch-E,Line-A,Morning,43.4,119.3,319.8,396.1,NA,PASS
2025-01-01 14:30,TruckMax,Line-A,Evening,48.9,121.7,292.9,387.6,95.8,PASS
2025-01-01 14:45,TruckMax,Line-C,Night,62.4,114.9,291.1,396.0,90.5,PASS
2025-01-01 15:00,Hatch-E,Line-A,Evening,59.4,111.0,346.3,398.1,90.5,PASS
2025-01-01 15:15,Sedan-X,Line-B,Night,45.5,124.4,288.6,390.8,98.2,PASS
2025-01-01 15:30,EV-One,Line-B,Evening,43.4,120.9,345.0,409.2,95.8,PASS
2025-01-01 15:45,SUV-Pro,Line-B,Evening,44.8,116.0,356.8,408.3,92.8,PASS
2025-01-01 16:00, ,Line-A,Night,55.5,112.9,305.5,391.0,93.6,PASS
2025-01-01 16:15,TruckMax,Line-D,Morning,48.8,118.7,318.9,405.6,92.5,PASS
2025-01-01 16:30,SUV-Pro,Line-A,Evening,53.7,108.3,293.0,406.9,94.4,PASS
2025-01-01 16:45,Sedan-X,Line-C,Night,49.6,124.3,330.9,398.0,97.0,PASS
2025-01-01 17:00,EV-One,Line-D,Evening,47.0,125.4,280.0,407.7,92.2,PASS
2025-01-01 17:15,SUV-Pro,Line-D,Morning,55.8,114.0,301.5,404.2,88.4,Rework
2025-01-01 17:30,TruckMax,Line-D,Night,54.3,111.0,336.9,410.7,95.3,PASS
2025-01-01 17:45,EV-One,Line-C,Morning,56.5,114.2,290.4,396.9,89.6,Rework
2025-01-01 18:00,TruckMax,Line-B,Morning,36.5,120.5,295.4,405.8,98.2,PASS
2025-01-01 18:15,Hatch-E,Line-D,Evening,43.2,110.5,287.6,398.6,95.8,PASS
2025-01-01 18:30,SUV-Pro,Line-C,Morning,51.9,112.7,330.8,402.9,90.3,PASS
2025-01-01 18:45,TruckMax,Line-B,Night,51.6,119.2,307.2,399.8,94.5,PASS
2025-01-01 19:00,TruckMax,Line-B,Morning,44.4,116.7,312.9,394.5,99.6,PASS
2025-01-01 19:15,TruckMax,Line-B,Evening,54.8,116.6,296.6,399.1,94.0,PASS
2025-01-01 19:30,Sedan-X,Line-D,Evening,50.5,115.4,294.5,400.0,93.1,PASS
2025-01-01 19:45,TruckMax,Line-C,Evening,54.3,NULL,294.5,402.6,94.4,PASS
2025-01-01 20:00,EV-One,Line-C,Night,49.4,125.4,343.6,399.6,95.1,PASS
2025-01-01 20:15,Sedan-X,Line-A,Night,51.7,108.5,335.5,392.1,95.5,PASS
2025-01-01 20:30,Hatch-E,Line-B,Night,53.7,121.5,311.1,387.8,91.1,PASS
2025-01-01 20:45,SUV-Pro,Line-A,Night,48.9,114.6,287.9,400.9,92.6,PASS
2025-01-01 21:00,Sedan-X,Line-C,Evening,51.9,114.9,325.1,403.5,89.5,Rework
2025-01-01 21:15,EV-One,Line-C,Morning,51.5,127.3,277.6,399.2,91.4,PASS
2025-01-01 21:30,Hatch-E,Line-A,Evening,55.2,117.4,344.9,395.5,90.1,PASS
2025-01-01 21:45,TruckMax,Line-C,Morning,52.3,117.2,290.7,396.5,91.7,PASS
2025-01-01 22:00,Hatch-E,Line-D,Night,54.7,117.1,310.4,399.3,89.0,Rework
2025-01-01 22:15,EV-One,Line-C,Night,52.4,119.8,327.7,386.2,94.6,PASS
2025-01-01 22:30,TruckMax,Line-A,Morning,53.6,118.4,error,397.9,94.7,PASS
2025-01-01 22:45,EV-One,Line-B,Evening,43.4,120.1,308.1,383.5,97.3,PASS
2025-01-01 23:00,SUV-Pro,Line-D,Night,57.7,121.4,272.9,406.1,94.7,PASS
2025-01-01 23:15,Hatch-E,Line-B,Evening,47.9,119.2,277.1,410.8,95.9,PASS
2025-01-01 23:30,Hatch-E,Line-A,Evening,49.4,131.0,341.9,394.5,97.5,PASS
2025-01-01 23:45,SUV-Pro,Line-A,Morning,53.0,114.4,326.3,403.5,96.3,PASS
2025-01-02 00:00,EV-One,Line-B,Night,54.6,127.9,305.2,401.0,89.0,Rework
2025-01-02 00:15,Sedan-X,Line-C,Morning,59.5,117.5,312.6,395.2,87.3,Rework
2025-01-02 00:30,SUV-Pro,Line-A,Evening,53.1,114.4,305.0,401.3,96.3,PASS
2025-01-02 00:45,TruckMax,Line-A,Night,58.0,120.1,294.4,404.1,91.2,PASS
2025-01-02 01:00,SUV-Pro,Line-A,Night,54.5,108.2,290.3,397.1,88.5,Rework
2025-01-02 01:15,Sedan-X,Line-D,Evening,49.4,119.1,305.4,391.7,91.0, pass 
2025-01-02 01:30,Hatch-E,Line-B,Morning,57.9,123.0,285.6,393.2,91.8,PASS
2025-01-02 01:45,EV-One,Line-C,Evening,45.6,117.8,312.4,395.2,94.5,PASS
2025-01-02 02:00,EV-One,Line-B,Evening,47.9,119.1,299.5,403.6,95.5,PASS
2025-01-02 02:15,Sedan-X,Line-C,Evening,50.2,121.5,336.3,395.4,94.1,PASS
2025-01-02 02:30,Sedan-X,Line-A,Morning,43.0,121.4,303.4,400.3,100,PASS
2025-01-02 02:45,EV-One,Line-C,Night,56.0,121.2,294.8,389.4,88.7,Rework
2025-01-02 03:00,Sedan-X,Line-C,Night,50.9,120.2,299.6,397.8,93.8,PASS
2025-01-02 03:15,Sedan-X,Line-C,Night,45.1,124.3,280.8,393.1,93.2,PASS
2025-01-02 03:30,EV-One,Line-A,Night,62.2,113.9,308.8,401.8,87.5,Rework
2025-01-02 03:45,Hatch-E,Line-C,Evening,64.1,118.4,293.3,395.5,91.2,PASS
2025-01-02 03:45,Hatch-E,Line-C,Evening,64.1,118.4,293.3,395.5,91.2,PASS
2025-01-02 04:15,Hatch-E,Line-A,Morning,57.6,124.9,317.1,398.8,91.4,PASS
2025-01-02 04:30,TruckMax,Line-D,Night,47.5,119.4,310.3,395.1,95.6,PASS
2025-01-02 04:45,Hatch-E,Line-D,Night,51.1,116.7,290.7,403.0,97.5,PASS
2025-01-02 05:00,Hatch-E,Line-B,Morning,52.4,113.9,325.4,402.8,93.6,PASS
2025-01-02 05:15,SUV-Pro,Line-D,Night,50.0,112.4,326.3,388.6,97.4,PASS
2025-01-02 05:30,Sedan-X,Line-D,Morning,49.7,118.5,302.6,403.9,94.9,PASS
2025-01-02 05:45,TruckMax,Line-C,Morning,39.1,125.3,330.6,410.9,98.7,PASS
2025-01-02 06:00,Hatch-E,Line-A,Evening,54.5,114.9,291.4,394.1,93.0,PASS
2025-01-02 06:15,Hatch-E,Line-C,Morning,50.2,120.6,301.2,397.8,93.8,PASS
2025-01-02 06:30,Hatch-E,Line-C,Night,60.3,116.1,315.0,400.2,91.8,PASS
,,,,,,,,,
2025-01-02 07:00,EV-One,Line-D,Night,58.9,115.0,293.4,391.7,87.5,Rework
2025-01-02 07:15,Hatch-E,Line-B,Evening,57.9,120.2,305.3,402.5,94.4,PASS
2025-01-02 07:30,EV-One,Line-A,Evening,50.4,118.3,299.9,401.6,92.7,PASS
2025-01-02 07:45,Sedan-X,Line-D,Evening,39.0,112.0,309.6,396.3,95.1,PASS
2025-01-02 08:00,EV-One,Line-B,Evening,46.4,114.4,329.0,396.3,93.0,PASS
2025-01-02 08:15,Hatch-E,Line-A,Night,51.0,116.9,295.5,380.2,93.4,PASS
2025-01-02 08:30,EV-One,Line-B,Evening,48.6,120.9,296.3,401.0,93.8,PASS
2025-01-02 08:45,Hatch-E,Line-A,Evening,59.5,122.2,303.9,407.4,88.9,Rework
2025-01-02 09:00,EV-One,Line-B,Evening,59.7,121.6,323.4,395.4,88.9,Rework
2025-01-02 09:15,TruckMax,Line-B,Night,51.4,116.0,285.9,394.9,94.8,PASS
2025-01-02 09:30,SUV-Pro,Line-A,Night,48.6,112.8,325.4,398.6,91.0,PASS
2025-01-02 09:45,Hatch-E,Line-D,Morning,52.5,120.7,340.7,403.4,96.2,PASS
2025-01-02 10:00,EV-One,Line-A,Night,46.7,125.3,321.9,402.3,98.0,PASS
2025-01-02 10:15,EV-One,Line-B,Night,46.3,120.0,304.1,394.0,95.9,PASS
2025-01-02 10:30,Hatch-E,Line-D,Morning,47.0,117.1,317.3,391.7,92.5,PASS
2025-01-02 10:45,Hatch-E,Line-D,Evening,53.3,109.4,291.3,397.9,95.4,PASS
2025-01-02 11:00,SUV-Pro,Line-B,Evening,58.5,119.8,281.0,408.1,88.9,Rework
2025-01-02 11:15,EV-One,Line-A,Evening,55.1,119.5,289.5,400.3,89.3,Rework
2025-01-02 11:30,Sedan-X,Line-B,Evening,62.4,110.3,294.4,401.1,90.0,Rework
2025-01-02 11:45,TruckMax,Line-A,Evening,52.8,122.3,333.2,403.5,94.2,PASS
2025-01-02 12:00,SUV-Pro,Line-B,Morning,49.4,127.2,306.7,480,92.6,PASS
2025-01-02 12:15,TruckMax,Line-A,Morning,56.2,118.4,335.2,409.5,90.6,PASS
2025-01-02 12:30,TruckMax,Line-A,Evening,52.2,120.5,311.9,406.5,92.1,PASS
2025-01-02 12:45,Sedan-X,Line-A,Evening,51.1,117.5,296.7,397.6,96.4,PASS
2025-01-02 13:00,TruckMax,Line-A,Night,47.3,123.2,320.3,406.2,94.9,PASS
2025-01-02 13:15,Hatch-E,Line-A,Night,41.9,115.6,306.4,397.9,94.3,PASS
2025-01-02 13:30,Sedan-X,Line-D,Evening,52.0,118.9,314.0,392.6,91.3,PASS
2025-01-02 13:45,Sedan-X,Line-C,Morning,59.2,119.7,314.3,394.6,88.1,Rework
2025-01-02 14:00,TruckMax,Line-D,Night,53.3,120.5,300.9,383.9,96.4,PASS
2025-01-02 14:15,SUV-Pro,Line-A,Morning,55.9,115.1,303.3,403.6,89.1,Rework
2025-01-02 14:30,TruckMax,Line-C,Morning,52.1,114.7,290.5,406.2,90.2,PASS
2025-01-02 14:45,Hatch-E,Line-C,Morning,54.0,112.9,294.3,401.8,88.7,Rework
2025-01-02 15:00,Hatch-E,Line-B,Evening,50.0,113.5,314.2,393.5,97.3,PASS
2025-01-02 15:15,TruckMax,Line-A,Evening,43.1,112.4,294.8,396.5,100,PASS
2025-01-02 15:30,Hatch-E,Line-C,Evening,46.9,114.8,303.8,392.8,98.9,PASS
2025-01-02 15:45,Hatch-E,Line-D,Evening,45.2,111.2,335.1,401.2,96.7,PASS
2025-01-02 16:00,EV-One,Line-B,Morning,57.1,123.3,310.9,396.4,94.6,PASS
2025-01-02 16:15,Hatch-E,Line-C,Evening,53.5,117.6,321.2,403.4,93.6,PASS
2025-01-02 16:30,TruckMax,Line-A,Night,55.7,121.6,304.3,402.5,88.0,Rework
2025-01-02 16:45,Sedan-X,Line-B,Evening,38.8,116.8,333.0,405.0,96.8,PASS
2025-01-02 17:00,SUV-Pro,Line-C,Night,58.0,115.1,335.3,406.2,91.2,PASS
2025-01-02 17:15,TruckMax,Line-A,Night,69.3,115.0,296.0,389.8,85.9,Rework
2025-01-02 17:30,Hatch-E,Line-C,Morning,48.7,106.9,289.3,389.9,94.4,PASS
2025-01-02 17:45,Sedan-X,Line-B,Morning,52.6,123.8,294.9,404.0,93.2,PASS
2025-01-02 18:00,EV-One,Line-B,Night,53.7,116.8,287.1,403.7,92.7,PASS
2025-01-02 18:15,TruckMax,Line-D,Night,66.4,124.0,297.7,392.9,86.0,Rework
2025-01-02 18:30,Hatch-E,Line-B,Night,49.6,115.6,328.7,396.7,90.9,PASS
2025-01-02 18:45,Sedan-X,Line-A,Night,54.1,120.5,297.5,406.5,93.6,PASS
2025-01-02 19:00,EV-One,Line-C,Morning,52.0,125.1,301.2,397.0,94.8,PASS
2025-01-02 19:15,EV-One,Line-A,Night,46.9,112.8,300.4,396.2,94.2,PASS
2025-01-02 19:30,EV-One,Line-C,Night,130,120.6,348.3,405.1,86.4,Rework
2025-01-02 19:45,Hatch-E,Line-B,Night,44.6,121.6,284.7,398.1,97.8,PASS
2025-01-02 20:00,Hatch-E,Line-D,Morning,55.1,110.8,307.9,400.2,95.5,PASS
2025-01-02 20:15,TruckMax,Line-D,Evening,46.7,119.0,332.2,407.4,96.8,PASS
2025-01-02 20:30,Hatch-E,Line-D,Morning,52.5,112.0,320.5,400.8,96.0,PASS
2025-01-02 20:45,TruckMax,Line-B,Morning,56.1,120.4,291.4,403.5,93.6,PASS
2025-01-02 21:00,SUV-Pro,Line-C,Night,51.3,114.8,342.2,414.8,93.7,PASS
2025-01-02 21:15,Hatch-E,Line-D,Morning,57.1,120.7,297.1,399.2,90.5,PASS
2025-01-02 21:30,Sedan-X,Line-A,Evening,39.6,118.3,298.5,392.4,97.9,PASS
2025-01-02 21:45,Sedan-X,Line-D,Morning,59.2,112.6,311.5,392.3,91.1,PASS
2025-01-02 22:00,EV-One,Line-B,Evening,49.8,117.4,279.4,397.7,95.8,PASS
2025-01-02 22:15,EV-One,Line-A,Morning,57.9,117.2,314.6,392.8,87.3,Rework
2025-01-02 22:30,SUV-Pro,Line-B,Night,44.9,117.7,319.4,398.9,97.4,PASS
2025-01-02 22:45,TruckMax,Line-D,Morning,46.3,114.3,298.3,405.3,98.2,PASS
2025-01-02 23:00,EV-One,Line-C,Night,46.2,126.0,282.3,396.1,97.1,PASS
2025-01-02 23:15,Sedan-X,Line-C,Evening,44.3,105.6,282.2,392.6,94.5,PASS
2025-01-02 23:30,Sedan-X,Line-D,Evening,62.3,116.2,313.9,390.2,87.3,Rework
2025-01-02 23:45,EV-One,Line-D,Morning,42.5,116.8,312.7,392.2,94.4,PASS
2025-01-03 00:00,SUV-Pro,Line-A,Night,54.7,117.2,325.5,398.6,94.9,PASS
2025-01-03 00:15,SUV-Pro,Line-D,Night,54.1,106.9,330.5,391.0,95.9,PASS
2025-01-03 00:30,SUV-Pro,Line-B,Night,48.0,124.6,294.6,397.2,97.4,PASS
2025-01-03 00:45,EV-One,Line-C,Night,45.7,124.8,305.3,389.5,94.2,PASS
2025-01-03 01:00,EV-One,Line-D,Morning,56.7,116.9,297.1,411.6,87.5,Rework
2025-01-03 01:15,Hatch-E,Line-B,Night,50.5,113.8,285.6,409.4,91.4,PASS
2025-01-03 01:30,Hatch-E,Line-C,Morning,45.3,115.2,324.3,394.3,97.1,PASS
2025-01-03 01:45,SUV-Pro,Line-C,Morning,49.8,125.7,298.9,403.3,96.0,PASS
2025-01-03 02:00,TruckMax,Line-B,Morning,54.2,114.5,296.7,396.2,95.4,PASS
2025-01-03 02:15,EV-One,Line-B,Morning,64.4,121.4,312.0,402.3,91.4,PASS
2025-01-03 02:30,Hatch-E,Line-D,Morning,50.6,115.5,358.5,394.3,96.5,PASS
2025-01-03 02:45,TruckMax,Line-D,Night,56.8,130.2,298.8,405.8,88.0,Rework
2025-01-03 03:00,Sedan-X,Line-B,Night,51.2,40,349.5,401.1,94.2,PASS
2025-01-03 03:15,SUV-Pro,Line-A,Evening,52.9,114.9,309.8,385.8,94.5,PASS
2025-01-03 03:30,Sedan-X,Line-A,Evening,49.4,117.0,324.6,397.5,90.3,PASS
2025-01-03 03:45,EV-One,Line-D,Morning,56.0,113.5,313.1,400.7,94.3,PASS
2025-01-03 04:00,TruckMax,Line-C,Night,55.8,125.5,315.9,390.5,89.6,Rework
2025-01-03 04:15,SUV-Pro,Line-D,Evening,49.5,117.8,304.4,394.6,97.1,PASS
2025-01-03 04:30,Hatch-E,Line-B,Morning,51.7,121.7,311.1,383.1,94.9,PASS
2025-01-03 04:45,EV-One,Line-A,Evening,46.8,111.7,318.4,399.1,96.8,PASS
2025-01-03 05:00,TruckMax,Line-C,Night,61.9,125.5,303.1,406.0,91.5,PASS
2025-01-03 05:15,SUV-Pro,Line-D,Morning,34.7,122.2,290.4,404.7,96.8,PASS
2025-01-03 05:30,EV-One,Line-B,Morning,48.6,111.9,315.1,390.9,94.3,PASS
2025-01-03 05:45,Hatch-E,Line-A,Night,60.6,124.1,319.9,395.7,89.5,Rework
2025-01-03 06:00,SUV-Pro,Line-C,Night,43.5,120.7,305.7,391.2,93.4,PASS
2025-01-03 06:15,TruckMax,Line-A,Evening,56.2,121.8,288.8,395.0,90.1,PASS
2025-01-03 06:30,Hatch-E,Line-A,Evening,52.0,118.4,311.4,400.3,93.8,PASS
2025-01-03 06:45,Sedan-X,Line-A,Morning,58.8,117.5,307.4,401.7,93.4,PASS
2025-01-03 07:00,TruckMax,Line-C,Evening,39.3,121.5,304.7,399.7,94.6,PASS
2025-01-03 07:15,EV-One,Line-B,Night,53.9,116.1,328.0,397.7,95.4,PASS
2025-01-03 07:30,SUV-Pro,Line-A,Morning,58.6,117.2,306.4,391.8,91.5,PASS
2025-01-03 07:45,SUV-Pro,Line-B,Evening,49.3,121.3,336.7,394.3,97.4,PASS
2025-01-03 08:00,TruckMax,Line-A,Morning,52.8,120.2,333.8,399.7,91.3,PASS
2025-01-03 08:15,Sedan-X,Line-B,Night,58.2,119.5,280.8,395.5,88.5,Rework
2025-01-03 08:30,SUV-Pro,Line-C,Morning,55.9,110.6,299.8,405.4,90.3,PASS
2025-01-03 08:45,Hatch-E,Line-B,Evening,64.5,107.8,291.6,397.2,90.0,Rework
2025-01-03 09:00,EV-One,Line-B,Night,48.7,112.3,325.8,399.6,93.4,PASS
2025-01-03 09:15,TruckMax,Line-C,Night,49.0,119.4,288.5,405.0,94.6,PASS
2025-01-03 09:30,SUV-Pro,Line-C,Night,56.1,122.4,327.4,400.2,92.2,PASS
2025-01-03 09:45,EV-One,Line-B,Evening,52.2,121.4,285.4,387.2,90.3,PASS
2025-01-03 10:00,Sedan-X,Line-B,Morning,51.0,125.4,280.8,390.6,96.1,PASS
2025-01-03 10:15,EV-One,Line-B,Evening,55.3,128.5,297.1,410.4,94.2,PASS
2025-01-03 10:30,SUV-Pro,Line-A,Night,58.9,118.0,311.1,406.2,45,PASS
2025-01-03 10:45,SUV-Pro,Line-C,Evening,46.6,122.2,301.1,401.6,95.3,PASS
2025-01-03 11:00,TruckMax,Line-D,Morning,55.1,110.4,311.2,392.7,94.3,PASS
2025-01-03 11:15,Hatch-E,Line-D,Morning,48.1,116.6,318.5,401.7,91.3,PASS
2025-01-03 11:30,EV-One,Line-D,Evening,55.1,121.7,285.2,405.8,92.0,PASS
2025-01-03 11:45,Hatch-E,Line-C,Evening,60.4,116.5,299.1,398.2,87.5,Rework
2025-01-03 12:00,SUV-Pro,Line-B,Night,48.3,117.1,352.1,386.3,91.0,PASS
2025-01-03 12:15,EV-One,Line-A,Morning,60.4,115.5,311.7,391.8,87.1,Rework
2025-01-03 12:30,SUV-Pro,Line-A,Night,54.5,120.9,303.9,398.6,91.1,PASS
2025-01-03 12:45,EV-One,Line-D,Night,51.3,118.0,307.4,397.7,93.2,PASS
2025-01-03 13:00,Hatch-E,Line-C,Morning,42.7,117.9,271.3,404.0,99.5,PASS
2025-01-03 13:15,Sedan-X,Line-B,Morning,54.6,123.7,315.7,393.7,93.0,PASS
2025-01-03 13:30,Hatch-E,Line-D,Evening,35.2,112.0,314.1,407.0,97.1,PASS
2025-01-03 13:45,Sedan-X,Line-A,Evening,46.5,122.4,312.3,398.3,98.0,PASS
2025-01-03 14:00,TruckMax,Line-D,Night,53.7,111.7,315.1,395.9,92.3,PASS
2025-01-03 14:15,Sedan-X,Line-B,Morning,59.5,113.5,296.9,396.1,86.8,Rework
2025-01-03 14:30,Hatch-E,Line-A,Morning,56.7,116.1,333.2,396.1,89.3,Rework
2025-01-03 14:45,TruckMax,Line-A,Evening,54.3,121.2,319.1,392.9,89.1,Rework
2025-01-03 15:00,Hatch-E,Line-D,Night,63.4,129.5,306.6,391.0,84.8,Rework
2025-01-03 15:15,Sedan-X,Line-A,Evening,52.3,120.0,290.4,392.9,92.3,PASS
2025-01-03 15:30,Hatch-E,Line-A,Night,49.3,133.5,293.1,398.3,90.8,PASS
2025-01-03 15:45,TruckMax,Line-B,Night,47.0,115.5,312.1,393.0,97.2,PASS
2025-01-03 16:00,Sedan-X,Line-A,Evening,57.4,124.5,290.3,390.7,92.5,PASS
2025-01-03 16:15,Sedan-X,Line-A,Morning,58.1,116.1,310.6,395.2,94.1,PASS
2025-01-03 16:30,TruckMax,Line-D,Night,46.2,116.3,326.6,398.9,98.8,PASS
2025-01-03 16:45,EV-One,Line-C,Evening,58.2,118.4,315.3,388.5,90.2,PASS
2025-01-03 17:00,SUV-Pro,Line-B,Night,49.6,119.9,303.4,404.6,97.7,PASS
2025-01-03 17:15,TruckMax,Line-C,Evening,48.8,126.3,282.2,409.0,92.7,PASS
2025-01-03 17:30,TruckMax,Line-B,Evening,56.0,120.7,325.3,396.3,90.6,PASS
2025-01-03 17:45,Hatch-E,Line-D,Evening,41.9,121.9,295.9,391.4,98.8,PASS
2025-01-03 18:00,EV-One,Line-B,Evening,45.9,129.9,324.7,397.0,94.1,PASS
2025-01-03 18:15,TruckMax,Line-B,Evening,44.1,124.5,303.1,399.8,95.8,PASS
2025-01-03 18:30,EV-One,Line-B,Night,52.2,116.8,303.9,383.8,95.4,PASS
2025-01-03 18:45,Hatch-E,Line-A,Evening,50.5,115.6,305.5,402.3,96.6,PASS
2025-01-03 19:00,TruckMax,Line-D,Morning,44.3,120.1,290.7,394.3,92.9,PASS
2025-01-03 19:15,TruckMax,Line-A,Evening,48.7,109.3,276.8,390.6,97.6,PASS
2025-01-03 19:30,SUV-Pro,Line-C,Morning,50.9,116.8,336.9,397.1,94.4,PASS
2025-01-03 19:45,Hatch-E,Line-D,Morning,56.6,118.3,288.3,397.5,90.7,PASS
2025-01-03 20:00,EV-One,Line-B,Evening,47.3,122.0,298.2,389.7,97.9,PASS
2025-01-03 20:15,Sedan-X,Line-D,Morning,48.2,128.8,339.1,403.8,92.9,PASS
2025-01-03 20:30,Hatch-E,Line-C,night,48.1,118.9,289.6,398.7,95.3,PASS
2025-01-03 20:45,TruckMax,Line-C,Morning,48.6,126.7,336.3,405.7,93.4,PASS
2025-01-03 21:00,SUV-Pro,Line-B,Night,53.6,120.6,267.8,392.4,94.7,PASS
2025-01-03 21:15,TruckMax,Line-B,Morning,47.9,113.9,334.4,399.5,97.3,PASS
2025-01-03 21:30,EV-One,Line-D,Evening,56.2,118.1,305.0,407.2,89.2,Rework
2025-01-03 21:45,EV-One,Line-A,Night,54.1,122.1,296.5,399.2,89.5,Rework
2025-01-03 22:00,EV-One,Line-C,Night,47.4,121.2,322.6,401.7,95.4,PASS
2025-01-03 22:15,SUV-Pro,Line-C,Night,44.4,114.0,304.9,402.1,99.3,PASS
2025-01-03 22:30,Hatch-E,Line-B,Night,45.8,122.3,293.2,395.1,95.8,PASS
2025-01-03 22:45,EV-One,Line-B,Night,54.5,121.6,323.3,408.6,91.2,PASS
2025-01-03 23:00,Hatch-E,Line-A,Evening,59.2,125.0,330.8,396.4,90.4,PASS
2025-01-03 23:15,TruckMax,Line-D,Night,55.7,113.1,313.9,398.7,89.6,Rework
2025-01-03 23:30,Hatch-E,Line-A,Evening,52.8,122.1,314.5,390.4,90.7,PASS
2025-01-03 23:45,TruckMax,Line-A,Night,59.8,123.7,317.6,392.9,87.5,Rework
2025-01-04 00:00,Sedan-X,Line-D,Night,53.2,123.2,307.7,389.3,94.7,PASS
2025-01-04 00:15,Sedan-X,Line-D,Evening,45.6,125.5,256.6,405.2,93.6,PASS
2025-01-04 00:30,SUV-Pro,Line-B,Night,47.3,115.6,303.8,389.8,97.8,PASS
2025-01-04 00:45,SUV-Pro,Line-B,Morning,54.7,111.9,286.2,396.4,94.8,PASS
2025-01-04 01:00,Hatch-E,Line-C,Night,50.7,127.8,337.0,397.2,97.0,PASS
2025-01-04 01:15,TruckMax,Line-A,Evening,54.1,116.1,319.1,394.6,90.7,PASS
2025-01-04 01:30,SUV-Pro,Line-D,Evening,57.3,123.5,297.9,393.8,94.5,PASS
2025-01-04 01:45,Sedan-X,Line-D,Night,52.0,110.3,324.2,393.4,93.3,PASS
2025-01-04 02:00,EV-One,Line-A,Night,65.4,125.4,291.6,391.0,85.0,Rework
2025-01-04 02:15,EV-One,Line-D,Morning,63.0,116.1,294.1,398.2,90.5,PASS
2025-01-04 02:30,EV-One,Line-B,Night,58.3,111.0,334.0,391.7,94.3,PASS
2025-01-04 02:45,TruckMax,Line-A,Morning,55.2,116.7,256.3,403.0,92.5,PASS
2025-01-04 03:00,SUV-Pro,Line-C,Morning,60.6,110.7,324.2,401.1,93.1,PASS
